Frame,X(cm),Y(cm)
398,42.9543,6.73527
399,43.0239,6.76813
400,42.7803,6.83384
401,42.9195,6.9324
402,43.2676,6.89955
403,43.5461,7.03097
404,43.6157,7.06382
405,43.5112,7.16239
406,43.5461,7.06382
407,43.6157,7.09668
408,43.6157,7.06382
409,43.6505,7.09668
410,43.6853,7.29381
411,43.6853,7.2281
412,43.6853,7.19524
413,43.6853,7.32666
414,43.6505,7.32666
415,43.8245,7.62236
416,43.8245,7.55665
417,43.8593,7.72092
418,43.8941,7.85234
419,43.8593,7.91805
420,43.8245,7.81949
421,43.8941,7.98376
422,43.8593,7.95091
423,43.929,8.01662
424,43.9638,8.08233
425,43.9638,8.11518
426,43.929,8.18089
427,43.9638,8.21375
428,43.9638,8.27946
429,43.9638,8.31231
430,44.0334,8.37802
431,44.0334,8.44373
432,43.9986,8.44373
433,44.0334,8.50944
434,43.9986,8.57515
435,44.0334,8.64086
436,44.0334,8.67372
437,44.0334,8.67372
438,44.0334,8.77228
439,43.9986,8.77228
440,44.0334,8.83799
441,44.0334,8.9037
442,44.0334,8.9037
443,44.0334,9.00227
444,44.0334,9.00227
445,44.0334,9.06798
446,44.0334,9.13369
447,44.103,9.13369
448,44.0682,9.1994
449,44.0682,9.23225
450,44.0682,9.26511
451,44.0682,9.33082
452,44.1378,9.36367
453,44.103,9.36367
454,44.103,9.46224
455,44.103,9.46224
456,44.103,9.49509
457,44.103,9.5608
458,44.103,9.5608
459,44.1378,9.65937
460,44.1378,9.62651
461,44.1378,9.72508
462,44.1378,9.75793
463,44.1726,9.79079
464,44.2074,9.8565
465,44.1726,9.82364
466,44.1726,9.8565
467,44.1726,9.92221
468,44.1726,9.95506
469,44.2074,10.0208
470,44.2074,10.0865
471,44.2074,10.0208
472,44.2074,10.1522
473,44.2074,10.1193
474,44.2074,10.1522
475,44.2074,10.185
476,44.2074,10.2179
477,44.2422,10.2508
478,44.1726,10.2836
479,44.2074,10.2836
480,44.2074,10.3165
481,44.2074,10.3165
482,44.2422,10.415
483,44.2074,10.415
484,44.2074,10.4479
485,44.2422,10.4807
486,44.2074,10.5136
487,44.2422,10.5136
488,44.277,10.6779
489,44.2422,10.7436
490,44.1726,10.645
491,44.103,10.6779
492,44.103,10.8093
493,44.0682,10.9079
494,44.0334,10.8421
495,44.0682,10.9736
496,44.0682,11.0064
497,44.0334,11.0393
498,43.929,11.2364
499,44.0682,11.1378
500,44.0334,11.1707
501,44.0334,11.2036
502,44.0334,11.2364
503,44.0334,11.3021
504,44.103,11.2693
505,43.9986,11.4007
506,44.0334,11.4335
507,43.9986,11.4664
508,44.0334,11.4664
